56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
930
# a b m n r rhoa k err
17 44 26 35 7.218633 698.2351200887914 96.72677916840924 0.05
17 47 27 37 7.06782136 762.3645494628514 107.86415086513327 0.05
17 50 28 39 6.70325508 811.1827699254769 121.01326299602445 0.05
17 53 29 41 6.34380796 823.4222187439161 129.7993608784961 0.05
17 56 30 43 6.10499692 808.8097489664354 132.48323620226094 0.05
18 21 19 20 299.264509 3188.3794642697635 10.654051410652787 0.05
18 24 20 22 102.825993 2225.660039665713 21.644916569545924 0.05
18 27 21 24 45.1834717 1440.699367575995 31.88553941011122 0.05
18 30 22 26 27.0253004 1128.679598470568 41.76381323297217 0.05
18 33 23 28 17.3965109 898.9440822233238 51.67381478910946 0.05
18 36 24 30 13.4347997 811.5149319544591 60.40394721734923 0.05
18 39 25 32 8.84650944 616.9591859113045 69.74040892577226 0.05
18 42 26 34 7.87753083 660.5955538661292 83.85819974837587 0.05
18 45 27 36 7.01962045 690.194760345509 98.32365799001413 0.05
18 48 28 38 7.175969 788.5501332958588 109.8876170306559 0.05
18 51 29 40 6.77341005 818.6721432088656 120.86558131954017 0.05
18 54 30 42 6.40355174 813.8790967943492 127.09807460606997 0.05
19 22 20 21 257.333907 2732.7513405598197 10.619476354353177 0.05
19 25 21 23 111.382526 2371.9323837535976 21.295372523277106 0.05
19 28 22 25 43.1851915 1363.9293289373968 31.58326457664074 0.05
19 31 23 27 25.5659454 1065.1925783069494 41.664509629553905 0.05
19 34 24 29 16.7405877 855.9819275555991 51.132131254603394 0.05
19 37 25 31 11.1747454 671.1123775047511 60.05616714137854 0.05
19 40 26 33 8.48693065 597.7648334503148 70.433571110931 0.05
19 43 27 35 7.3417107 639.0437750768334 87.04289792797657 0.05
19 46 28 37 7.41999993 735.9104028784207 99.17930051495574 0.05
19 49 29 39 7.24892922 804.1952740325178 110.93987120383522 0.05
19 52 30 41 6.78369353 812.1580957158857 119.72210892550237 0.05
19 55 31 43 6.46872636 800.0783513375761 123.68406187111866 0.05
20 23 21 22 296.390172 3235.15113096818 10.915176806092544 0.05
20 26 22 24 90.9470466 1894.6521252653545 20.83247555688471 0.05
20 29 23 26 38.1847204 1208.5302350071547 31.649576646033385 0.05
20 32 24 28 25.6073958 1059.7589224332432 41.384876881281436 0.05
20 35 25 30 15.2556688 773.1439587793428 50.67912583284076 0.05
20 38 26 32 10.0314073 595.0226915610065 59.315973698028046 0.05
20 41 27 34 8.03467506 581.6048130720072 72.3868493409872 0.05
20 44 28 36 7.33559036 650.2525638894443 88.6435217859472 0.05
20 47 29 38 7.69216692 757.2418454748828 98.44324146243082 0.05
20 50 30 40 7.27062795 803.321958192143 110.48866256347817 0.05
20 53 31 42 6.70179853 783.5008895046103 116.90904851844455 0.05
20 56 32 44 6.17602152 755.4834456950499 122.32526121363806 0.05
21 24 22 23 382.702445 3914.4298075352294 10.228389859216158 0.05
21 27 23 25 84.7931769 1778.0430120552555 20.969175552322717 0.05
21 30 24 27 43.182707 1340.159369667963 31.034630822656922 0.05
21 33 25 29 20.6236316 852.0890227967908 41.31614835462784 0.05
21 36 26 31 14.7375552 738.1401260778956 50.08565641049444 0.05
21 39 27 33 9.09875913 546.5752162363485 60.07140187217469 0.05
21 42 28 35 7.58148724 568.9911788967735 75.05007406657238 0.05
21 45 29 37 7.93590681 706.079306901767 88.97273163692392 0.05
21 48 30 39 7.69374556 757.1336023033074 98.40897341857344 0.05
21 51 31 41 7.03952063 764.3618818476866 108.58152451322337 0.05
21 54 32 43 6.53635915 744.7832481759488 113.94466416000851 0.05
22 25 23 24 252.343208 2708.234364359424 10.732344990872209 0.05
22 28 24 26 93.4660284 1983.3706683770579 21.2202305193601 0.05
22 31 25 28 41.1163345 1267.172123736388 30.819189967831104 0.05
22 34 26 30 20.4695218 835.6218250250063 40.8227330950646 0.05
22 37 27 32 13.4934437 666.0294859704821 49.35948900653746 0.05
22 40 28 34 8.71362236 538.6704865315031 61.81935184663008 0.05
22 43 29 36 7.91979301 613.0775458188764 77.41080417692335 0.05
22 46 30 38 8.33110383 733.2477427889139 88.01327624180071 0.05
22 49 31 40 7.7256403 766.0889332897949 99.1618692485327 0.05
22 52 32 42 6.92180214 735.2652996147156 106.22454741457196 0.05
22 55 33 44 6.4092071 718.4749117135915 112.10043621676564 0.05
23 26 24 25 384.482641 3932.149810138927 10.227119226792158 0.05
23 29 25 27 91.4737023 1884.2641757768913 20.598971380836865 0.05
23 32 26 29 40.146158 1234.5543024893677 30.751493143861182 0.05
23 35 27 31 22.4917946 904.3207121886311 40.206694408841486 0.05
23 38 28 33 12.0954081 600.541558526945 49.65037587503517 0.05
23 41 29 35 9.07373403 569.936284163076 62.81165860479558 0.05
23 44 30 37 9.34269907 730.4603792845699 78.18515546862946 0.05
23 47 31 39 8.51408596 736.0824055850343 86.45465984760088 0.05
