56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
903
# a b m n r rhoa k err
14 38 22 30 10.0412505 785.3606140220895 78.21342710473058 0.01
14 41 23 32 8.38114379 745.4735323732365 88.9465150642925 0.01
14 44 24 34 7.59673667 794.3834159684366 104.56903410980502 0.01
14 47 25 36 6.56509746 758.961154474899 115.60546649903031 0.01
14 50 26 38 6.63725049 860.965470293483 129.7171881023106 0.01
14 53 27 40 6.19849935 865.8923691312037 139.69387108691134 0.01
14 56 28 42 5.85252225 845.793355582082 144.51775139890873 0.01
15 18 16 17 270.920732 2733.8655883567694 10.09101654264233 0.01
15 21 17 19 89.751664 1945.0496979183058 21.67146113211122 0.01
15 24 18 21 47.4924641 1476.5798363116028 31.09082386634057 0.01
15 27 19 23 28.0336903 1153.7115967801024 41.154467515113495 0.01
15 30 20 25 20.2879413 1039.554440173064 51.240016165320036 0.01
15 33 21 27 15.0817979 920.6329028187813 61.04264948536284 0.01
15 36 22 29 11.9438869 822.280011047285 68.8452610052164 0.01
15 39 23 31 8.8019016 693.8563201064111 78.83027459729963 0.01
15 42 24 33 7.96654771 725.806922577928 91.10683184221186 0.01
15 45 25 35 6.69939614 708.5230570412699 105.75924191299873 0.01
15 48 26 37 6.77329054 797.8506517138906 117.79365538834402 0.01
15 51 27 39 6.35995499 824.7489596613469 129.67842712065277 0.01
15 54 28 41 5.98420569 830.9729164606517 138.86102174750812 0.01
16 19 17 18 226.196914 2496.5943719940924 11.037260976929563 0.01
16 22 18 20 94.6856794 1960.8838414519805 20.709402455340893 0.01
16 25 19 22 43.3554052 1361.0489141427554 31.392831132916164 0.01
16 28 20 24 25.7564739 1073.5304652467273 41.68002458002325 0.01
16 31 21 26 19.7078286 1015.134278201342 51.509189510677096 0.01
16 34 22 28 14.2180774 854.516525588818 60.10070852398215 0.01
16 37 23 30 10.4737236 723.9584659595462 69.12140262700328 0.01
16 40 24 32 8.65900582 684.1244250068316 79.00727164620749 0.01
16 43 25 34 7.20951703 683.0968324974201 94.74931949740052 0.01
16 46 26 36 6.72429363 716.6704568590017 106.57929238271554 0.01
16 49 27 38 6.74501321 810.8165189664928 120.20977479545853 0.01
16 52 28 40 6.32087089 824.0606701195815 130.37138148531008 0.01
16 55 29 42 6.08749119 827.3002926651556 135.90168212878442 0.01
17 20 18 19 293.921743 3062.358144644246 10.418957486395438 0.01
17 23 19 21 89.3328315 1846.951439991769 20.67494569442556 0.01
17 26 20 23 47.6517733 1485.2210467993257 31.168221955746723 0.01
17 29 21 25 28.4185156 1181.867360838943 41.58793434091058 0.01
17 32 22 27 19.3103527 989.9511758045657 51.26530784725468 0.01
17 35 23 29 13.5200304 812.601841460074 60.10355135444621 0.01
17 38 24 31 10.0587956 696.9330636767381 69.28593555243712 0.01
17 41 25 33 7.93446816 637.9871131669937 80.40704182080853 0.01165689301712998
17 44 26 35 7.218633 698.2351200887923 96.72677916840937 0.01
17 47 27 37 7.06782136 762.364549462847 107.86415086513264 0.015002820693935204
17 50 28 39 6.70325508 811.1827699254691 121.01326299602329 0.01
17 53 29 41 6.34380796 823.4222187439032 129.79936087849404 0.01
17 56 30 43 6.10499692 808.8097489664183 132.48323620225813 0.01
18 21 19 20 299.264509 3188.3794642697585 10.654051410652771 0.01
18 24 20 22 102.825993 2225.6600396657236 21.644916569546027 0.01
18 27 21 24 45.1834717 1440.6993675759986 31.885539410111303 0.01
18 30 22 26 27.0253004 1128.679598470563 41.763813232971984 0.01
18 33 23 28 17.3965109 898.9440822233194 51.6738147891092 0.01
18 36 24 30 13.4347997 811.5149319544583 60.40394721734916 0.01
18 39 25 32 8.84650944 616.9591859113078 69.74040892577263 0.012113458240718314
18 42 26 34 7.87753083 660.5955538661317 83.8581997483762 0.012140153808885742
18 45 27 36 7.01962045 690.1947603455081 98.323657990014 0.01
18 48 28 38 7.175969 788.5501332958528 109.88761703065506 0.01
18 51 29 40 6.77341005 818.6721432088564 120.8655813195388 0.010228524906793905
18 54 30 42 6.40355174 813.8790967943332 127.09807460606747 0.013877701992864519
19 22 20 21 257.333907 2732.751340559816 10.619476354353163 0.01
19 25 21 23 111.382526 2371.932383753604 21.295372523277162 0.01
19 28 22 25 43.1851915 1363.9293289373952 31.5832645766407 0.01
19 31 23 27 25.5659454 1065.192578306944 41.66450962955369 0.01
19 34 24 29 16.7405877 855.981927555596 51.13213125460321 0.01
19 37 25 31 11.1747454 671.1123775047515 60.05616714137859 0.01
19 40 26 33 8.48693065 597.7648334503172 70.43357111093127 0.01
19 43 27 35 7.3417107 639.0437750768352 87.04289792797681 0.01
19 46 28 37 7.41999993 735.9104028784163 99.17930051495516 0.01
19 49 29 39 7.24892922 804.1952740325079 110.93987120383386 0.01
19 52 30 41 6.78369353 812.1580957158737 119.72210892550062 0.01
19 55 31 43 6.46872636 800.0783513375588 123.68406187111599 0.01
20 23 21 22 296.390172 3235.15113096818 10.915176806092544 0.01
20 26 22 24 90.9470466 1894.652125265363 20.832475556884805 0.01
20 29 23 26 38.1847204 1208.5302350071524 31.649576646033328 0.01
20 32 24 28 25.6073958 1059.758922433242 41.38487688128139 0.01
20 35 25 30 15.2556688 773.1439587793428 50.67912583284076 0.01
20 38 26 32 10.0314073 595.0226915610101 59.31597369802841 0.01
20 41 27 34 8.03467506 581.6048130720097 72.38684934098751 0.01
20 44 28 36 7.33559036 650.252563889445 88.6435217859473 0.01
20 47 29 38 7.69216692 757.2418454748783 98.44324146243025 0.01
20 50 30 40 7.27062795 803.3219581921335 110.48866256347686 0.01
20 53 31 42 6.70179853 783.5008895045979 116.9090485184427 0.01
20 56 32 44 6.17602152 755.4834456950339 122.32526121363546 0.01
21 27 23 25 84.7931769 1778.0430120552605 20.969175552322778 0.01
21 30 24 27 43.182707 1340.1593696679631 31.03463082265693 0.01
21 33 25 29 20.6236316 852.089022796792 41.316148354627906 0.01
21 36 26 31 14.7375552 738.1401260778989 50.085656410494664 0.01
21 39 27 33 9.09875913 546.575216236352 60.07140187217507 0.01
21 42 28 35 7.58148724 568.9911788967756 75.05007406657268 0.01
21 45 29 37 7.93590681 706.0793069017664 88.97273163692384 0.01
21 48 30 39 7.69374556 757.133602303301 98.4089734185726 0.01
21 51 31 41 7.03952063 764.3618818476797 108.58152451322238 0.01
21 54 32 43 6.53635915 744.7832481759364 113.94466416000662 0.01
22 25 23 24 252.343208 2708.23436435944 10.732344990872273 0.01
22 28 24 26 93.4660284 1983.3706683770663 21.22023051936019 0.01
22 31 25 28 41.1163345 1267.1721237363925 30.819189967831214 0.01
22 34 26 30 20.4695218 835.6218250250115 40.822733095064855 0.01
22 37 27 32 13.4934437 666.0294859704867 49.35948900653779 0.01
22 40 28 34 8.71362236 538.6704865315068 61.81935184663049 0.01
22 43 29 36 7.91979301 613.0775458188796 77.41080417692375 0.01
22 46 30 38 8.33110383 733.2477427889141 88.01327624180074 0.01
22 49 31 40 7.7256403 766.08893328979 99.16186924853206 0.01
22 52 32 42 6.92180214 735.265299614709 106.224547414571 0.01
