observation_index,A,B,M,N,value,dV,I,rel_err,K,fid,reciprocal_group,reciprocal_pair_count,reciprocal_error_percent,reciprocal_mean_value,reciprocal_partner_value
130,10,43,21,32,8.28777441,,,0.05,1.0,130,10-43|21-32,1,0.3259383031501245,8.27428987,8.26080533
131,10,46,22,34,7.31082577,,,0.05,1.0,131,10-46|22-34,1,0.1967102094916194,7.303642265000001,7.29645876
132,10,49,23,36,6.49760452,,,0.05,1.0,132,10-49|23-36,1,0.06327224431717085,6.4955495800000005,6.49349464
133,10,52,24,38,6.42350746,,,0.05,1.0,133,10-52|24-38,1,0.2387008693391119,6.415850115,6.40819277
134,10,55,25,40,5.94526425,,,0.05,1.0,134,10-55|25-40,1,0.01046803886554691,5.94495309,5.94464193
135,11,14,12,13,210.275122,,,0.05,1.0,135,11-14|12-13,1,0.05744107956386015,210.3355315,210.395941
136,11,17,13,15,84.2078264,,,0.05,1.0,136,11-17|13-15,1,0.049528494953938414,84.228685,84.2495436
137,11,20,14,17,60.8827571,,,0.05,1.0,137,11-20|14-17,1,0.07282234393318196,60.904933299999996,60.9271095
138,11,23,15,19,43.7027086,,,0.05,1.0,138,11-23|15-19,1,0.1333639049774305,43.6735862,43.6444638
139,11,26,16,21,29.2509703,,,0.05,1.0,139,11-26|16-21,1,0.04409547937973481,29.2574209,29.2638715
140,11,29,17,23,22.1571623,,,0.05,1.0,140,11-29|17-23,1,0.18137391009061535,22.13708685,22.1170114
141,11,32,18,25,17.4108525,,,0.05,1.0,141,11-32|18-25,1,0.042299721037910624,17.414535649999998,17.4182188
142,11,35,19,27,13.4947733,,,0.05,1.0,142,11-35|19-27,1,0.3989163738462569,13.46791045,13.4410476
143,11,38,20,29,10.5610221,,,0.05,1.0,143,11-38|20-29,1,0.33467733795152066,10.543378950000001,10.5257358
144,11,41,21,31,9.1146792,,,0.05,1.0,144,11-41|21-31,1,0.19232471567436185,9.10592273,9.09716626
145,11,44,22,33,8.07099482,,,0.05,1.0,145,11-44|22-33,1,0.3584019650358178,8.05655739,8.04211996
146,11,47,23,35,6.9817795,,,0.05,1.0,146,11-47|23-35,1,1.1560037420721774,6.9416565949999995,6.90153369
147,11,50,24,37,6.78679144,,,0.05,1.0,147,11-50|24-37,1,0.28044816539854434,6.77728805,6.76778466
148,11,53,25,39,6.14945343,,,0.05,1.0,148,11-53|25-39,1,0.5221585029891957,6.13344029,6.11742715
149,11,56,26,41,5.87815853,,,0.05,1.0,149,11-56|26-41,1,0.5124488210190742,5.863135745,5.84811296
150,12,15,13,14,297.259981,,,0.05,1.0,150,12-15|13-14,1,0.03165549010649068,297.307038,297.354095
151,12,18,14,16,103.081959,,,0.05,1.0,151,12-18|14-16,1,0.07555499252719032,103.1209155,103.159872
152,12,21,15,18,69.7287093,,,0.05,1.0,152,12-21|15-18,1,0.05356114550586216,69.74738805000001,69.7660668
153,12,24,16,20,44.0953227,,,0.05,1.0,153,12-24|16-20,1,0.04246963473322741,44.104688249999995,44.1140538
154,12,27,17,22,28.6854995,,,0.05,1.0,154,12-27|17-22,1,0.5082714040809682,28.6127842,28.5400689
155,12,30,18,24,21.7104337,,,0.05,1.0,155,12-30|18-24,1,0.3846648771762835,21.66875765,21.6270816
156,12,33,19,26,15.9659609,,,0.05,1.0,156,12-33|19-26,1,0.047521704535549374,15.969755450000001,15.97355
157,12,36,20,28,13.133796,,,0.05,1.0,157,12-36|20-28,1,0.19448310521861645,13.1210369,13.1082778
158,12,39,21,30,10.3416026,,,0.05,1.0,158,12-39|21-30,1,0.16877961848923348,10.332882699999999,10.3241628
159,12,42,22,32,8.92579072,,,0.05,1.0,159,12-42|22-32,1,0.19994748867312492,8.916876185,8.90796165
160,12,45,23,34,7.65161166,,,0.05,1.0,160,12-45|23-34,1,0.2463402301292287,7.642198755000001,7.63278585
161,12,48,24,36,7.02376431,,,0.05,1.0,161,12-48|24-36,1,0.05000663218357585,7.022008575,7.02025284
162,12,51,25,38,6.58313649,,,0.05,1.0,162,12-51|25-38,1,0.10084913214200628,6.579818645,6.5765008
163,12,54,26,40,6.26902931,,,0.05,1.0,163,12-54|26-40,1,0.523963404010401,6.252648515,6.23626772
164,13,16,14,15,185.633897,,,0.05,1.0,164,13-16|14-15,1,0.029599586962018722,185.6613745,185.688852
165,13,19,15,17,108.124021,,,0.05,1.0,165,13-19|15-17,1,0.036557809328088005,108.1437885,108.163556
166,13,22,16,19,60.0358011,,,0.05,1.0,166,13-22|16-19,1,0.04492712197896383,60.02231795,60.0088348
167,13,25,17,21,35.7044684,,,0.05,1.0,167,13-25|17-21,1,0.17939239200263543,35.67247155,35.6404747
168,13,28,18,23,25.6979151,,,0.05,1.0,168,13-28|18-23,1,0.8205729361183655,25.59291085,25.4879066
169,13,31,19,25,18.8557761,,,0.05,1.0,169,13-31|19-25,1,0.05076783588065928,18.86056365,18.8653512
170,13,34,20,27,14.3902894,,,0.05,1.0,170,13-34|20-27,1,0.1387910267080096,14.40028255,14.4102757
171,13,37,21,29,11.584584,,,0.05,1.0,171,13-37|21-29,1,0.2216620672938442,11.571758899999999,11.5589338
172,13,40,22,31,9.3371193,,,0.05,1.0,172,13-40|22-31,1,0.2670507804111186,9.3246685,9.3122177
173,13,43,23,33,8.03928765,,,0.05,1.0,173,13-43|23-33,1,0.4733090505312253,8.02030723,8.00132681
174,13,46,24,35,7.21606486,,,0.05,1.0,174,13-46|24-35,1,0.5833707537066689,7.19507787,7.17409088
175,13,49,25,37,6.74418542,,,0.05,1.0,175,13-49|25-37,1,0.5188143419847487,6.726735785,6.70928615
