observation_index,A,B,M,N,value,reciprocal_group,reciprocal_pair_count,reciprocal_error_percent,reciprocal_mean_value,reciprocal_partner_value
330,27,30,28,29,213.092542,27-30|28-29,1,0.05723479864685462,213.15354100000002,213.21454
331,27,33,29,31,66.8268024,27-33|29-31,1,0.0007404242220752858,66.82655500000001,66.8263076
332,27,36,30,33,41.3825975,27-36|30-33,1,0.012491669013985072,41.38518235,41.3877672
333,27,39,31,35,17.0569288,27-39|31-35,1,0.2640648426092838,17.07947925,17.1020297
334,27,42,32,37,13.2331337,27-42|32-37,1,0.2798766839025839,13.21464135,13.196149
335,27,45,33,39,10.585275,27-45|33-39,1,0.5503120531992162,10.5562289,10.5271828
336,27,48,34,41,9.21907969,27-48|34-41,1,0.3514980066336455,9.202905675,9.18673166
337,27,51,35,43,8.28560682,27-51|35-43,1,0.35799731757458664,8.270802195,8.25599757
338,27,54,36,45,7.56471563,27-54|36-45,1,0.43965434661472846,7.548122805,7.53152998
339,28,31,29,30,210.81992,28-31|29-30,1,0.01034715855298898,210.8308275,210.841735
340,28,34,30,32,72.6814178,28-34|30-32,1,0.0008538597199240854,72.6817281,72.6820384
341,28,37,31,34,37.5736719,28-37|31-34,1,0.008008853926282419,37.57216735,37.5706628
342,28,40,32,36,16.5745116,28-40|32-36,1,0.214464490371346,16.5923039,16.6100962
343,28,43,33,38,13.1501367,28-43|33-38,1,0.08873729133523404,13.14430475,13.1384728
344,28,46,34,40,10.9020292,28-46|34-40,1,0.19892212579356602,10.8911967,10.8803642
345,28,49,35,42,9.59684971,28-49|35-42,1,0.658976111681842,9.56533308,9.53381645
346,28,52,36,44,8.07807778,28-52|36-44,1,0.5590422715679194,8.055560785,8.03304379
347,28,55,37,46,7.1180007,28-55|37-46,1,0.30733001877479926,7.12895541,7.13991012
348,29,32,30,31,232.41579,29-32|30-31,1,0.03264510655187951,232.37786,232.33993
349,29,35,31,33,86.4031192,29-35|31-33,1,0.08036594847147363,86.4378525,86.4725858
350,29,38,32,35,29.1822829,29-38|32-35,1,0.9110574268711794,29.315824900000003,29.4493669
351,29,41,33,37,17.3303984,29-41|33-37,1,0.03143641638518623,17.3276748,17.3249512
352,29,44,34,39,13.5801573,29-44|34-39,1,0.1608239691431649,13.569246,13.5583347
353,29,47,35,41,11.2743168,29-47|35-41,1,0.5056766152171044,11.2458829,11.217449
354,29,50,36,43,9.4842438,29-50|36-43,1,0.4687997943975166,9.46206473,9.43988566
355,29,53,37,45,7.61120251,29-53|37-45,1,0.32381281404790435,7.598899405,7.5865963
356,29,56,38,47,6.69352439,29-56|38-47,1,0.27705170463279905,6.684264955,6.67500552
357,30,33,31,32,208.301188,30-33|31-32,1,0.0014104476833439188,208.302657,208.304126
358,30,36,32,34,90.0274217,30-36|32-34,1,0.03179447811588813,90.04173585000001,90.05605
359,30,39,33,36,25.175008,30-39|33-36,1,0.08082132251915365,25.1851855,25.195363
360,30,42,34,38,18.4312262,30-42|34-38,1,0.11810634374321778,18.4203484,18.4094706
