56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
930
# a b m n r rhoa k
18 33 23 28 16.7405877 855.9819275556088 51.13213125460397
18 36 24 30 11.1747454 671.1123775047632 60.05616714137963
18 39 25 32 8.48693065 597.7648334503267 70.4335711109324
18 42 26 34 7.3417107 639.0437750768461 87.0428979279783
18 45 27 36 7.41999993 735.9104028784349 99.17930051495766
18 48 28 38 7.24892922 804.1952740325311 110.93987120383707
18 51 29 40 6.78369353 812.1580957159025 119.72210892550486
18 54 30 42 6.46872636 800.0783513375909 123.68406187112095
19 22 20 21 296.390172 3235.15113096818 10.915176806092544
19 25 21 23 90.9470466 1894.652125265362 20.83247555688479
19 28 22 25 38.1847204 1208.5302350071552 31.6495766460334
19 31 23 27 25.6073958 1059.758922433254 41.384876881281855
19 34 24 29 15.2556688 773.1439587793537 50.67912583284148
19 37 25 31 10.0314073 595.0226915610189 59.315973698029275
19 40 26 33 8.03467506 581.6048130720194 72.3868493409887
19 43 27 35 7.33559036 650.2525638894556 88.64352178594874
19 46 28 37 7.69216692 757.2418454748988 98.44324146243291
19 49 29 39 7.27062795 803.321958192159 110.48866256348036
19 52 30 41 6.70179853 783.5008895046279 116.90904851844718
19 55 31 43 6.17602152 755.4834456950634 122.32526121364023
20 23 21 22 382.702445 3914.4298075352503 10.228389859216213
20 26 22 24 84.7931769 1778.0430120552573 20.96917555232274
20 29 23 26 43.182707 1340.1593696679683 31.03463082265705
20 32 24 28 20.6236316 852.0890227967998 41.31614835462828
20 35 25 30 14.7375552 738.1401260779081 50.08565641049529
20 38 26 32 9.09875913 546.5752162363582 60.07140187217575
20 41 27 34 7.58148724 568.9911788967844 75.05007406657383
20 44 28 36 7.93590681 706.0793069017794 88.97273163692549
20 47 29 38 7.69374556 757.1336023033211 98.40897341857523
20 50 30 40 7.03952063 764.3618818477046 108.58152451322592
20 53 31 42 6.53635915 744.7832481759656 113.94466416001109
21 24 22 23 252.343208 2708.234364359426 10.732344990872216
21 27 23 25 93.4660284 1983.3706683770658 21.220230519360186
21 30 24 27 41.1163345 1267.1721237363995 30.819189967831385
21 33 25 29 20.4695218 835.6218250250176 40.82273309506515
21 36 26 31 13.4934437 666.0294859704916 49.35948900653816
21 39 27 33 8.71362236 538.6704865315132 61.81935184663123
21 42 28 35 7.91979301 613.0775458188867 77.41080417692466
21 45 29 37 8.33110383 733.2477427889307 88.01327624180273
21 48 30 39 7.7256403 766.0889332898105 99.16186924853471
21 51 31 41 6.92180214 735.2652996147334 106.22454741457453
21 54 32 43 6.4092071 718.4749117136063 112.10043621676796
22 25 23 24 384.482641 3932.1498101389484 10.227119226792214
22 28 24 26 91.4737023 1884.2641757769004 20.598971380836964
22 31 25 28 40.146158 1234.554302489383 30.751493143861563
22 34 26 30 22.4917946 904.3207121886454 40.206694408842125
22 37 27 32 12.0954081 600.5415585269542 49.65037587503593
22 40 28 34 9.07373403 569.9362841630867 62.81165860479676
22 43 29 36 9.34269907 730.4603792845837 78.18515546863094
22 46 30 38 8.51408596 736.0824055850525 86.45465984760301
22 49 31 40 7.56535471 743.5622414304364 98.28517894178638
22 52 32 42 6.92103073 712.3795388004894 102.92968874023326
22 55 33 44 6.62765802 731.3292106101226 110.34504321182862
23 26 24 25 271.023677 2850.1137806317993 10.516106239056741
23 29 25 27 80.9650354 1628.1411582653184 20.10918849379418
23 32 26 29 35.0789709 1085.8862960551935 30.95547754666866
23 35 27 31 21.8544488 863.2571258099656 39.50029276464596
23 38 28 33 11.1732921 568.2857956239847 50.86108825741562
23 41 29 35 9.44050541 609.4763664915574 64.55971794115601
23 44 30 37 9.36168389 724.5703882481118 77.39744225097007
23 47 31 39 8.28747485 720.3346238195202 86.91846875644156
23 50 32 41 7.33167839 692.1980920864903 94.41195525305771
23 53 33 43 6.75859173 678.6067363124212 100.4065289667114
24 27 25 26 257.254063 2606.44208880462 10.131782015060422
24 30 26 28 83.4271514 1686.1351897584746 20.210868541754795
24 33 27 30 34.27535 1043.116905230311 30.433442845377535
24 36 28 32 20.0590633 785.1644819351491 39.14262945344757
24 39 29 34 11.7017776 602.353312679975 51.47536838163589
24 42 30 36 10.8113676 719.7806123425435 66.5762777636516
24 45 31 38 9.31479006 710.8271423291263 76.31166539990987
24 48 32 40 8.20003214 707.34665047217 86.26144854014805
24 51 33 42 7.47856575 675.5400773866526 90.330164896478
24 54 34 44 7.21794369 715.384936827758 99.1120141071311
25 28 26 27 207.457999 2091.7762481163127 10.082890311288082
25 31 27 29 76.19431 1585.739822523598 20.81178794746744
25 34 28 31 37.5621789 1102.331617598313 29.346849673790167
25 37 29 33 18.022616 721.0073553802099 40.00569924922164
25 40 30 35 11.9857668 628.145740369645 52.407639064831876
25 43 31 37 10.9517498 736.8040017306334 67.27728583889247
25 46 32 39 9.21020438 688.0169793752516 74.7015973792377
25 49 33 41 8.18612684 675.0306738072753 82.46032427800438
25 52 34 43 7.42940546 659.7244520137023 88.79909106666285
25 55 35 45 7.08850807 696.4322286167222 98.24806880931183
26 29 27 28 213.092542 2154.084317502199 10.108680000176633
26 32 28 30 66.8268024 1361.880694484073 20.379258704200293
26 35 29 32 41.3825975 1198.724671920172 28.966878454649255
26 38 30 34 17.0569288 693.5745734841591 40.66233620463721
26 41 31 36 13.2331337 722.7941423656986 54.620028690989386
26 44 32 38 10.585275 693.8435048113058 65.54799046895862
26 47 33 40 9.21907969 668.8822692994672 72.55412598559144
26 50 34 42 8.28560682 648.0133799418152 78.20952574983701
26 53 35 44 7.56471563 665.0187025780838 87.9106016808835
27 30 28 29 210.81992 2103.266941474493 9.976604399975548
27 33 29 31 72.6814178 1384.1849864058154 19.044551252628636
27 36 30 33 37.5736719 1102.9208691125023 29.353555650559198
27 39 31 35 16.5745116 689.3884362581845 41.59328810980979
27 42 32 37 13.1501367 726.3462847469771 55.234884725341075
27 45 33 39 10.9020292 683.8863086120964 62.730185001898214
27 48 34 41 9.59684971 670.2773497209649 69.84347676326848
27 51 35 43 8.07807778 618.859449644735 76.60974138884005
27 54 36 45 7.1180007 618.4993250700328 86.89228213619491
28 31 29 30 232.41579 2341.8878208093083 10.07628535397405
28 34 30 32 86.4031192 1639.8132293406047 18.978634620179367
28 37 31 34 29.1822829 890.9767564049896 30.531427560281433
28 40 32 36 17.3303984 735.9001016828921 42.46296505698866
28 43 33 38 13.5801573 730.9623115202118 53.82576176199459
28 46 34 40 11.2743168 677.283056817065 60.07309079846551
28 49 35 42 9.4842438 635.9439298770473 67.05267634274092
28 52 36 44 7.61120251 582.6157907756804 76.54714087691255
28 55 37 46 6.69352439 577.5788906795376 86.28920386731235
29 32 30 31 208.301188 1995.1609173210654 9.578250304175247
29 35 31 33 90.0274217 1815.1876651395448 20.1626085792874
29 38 32 35 25.175008 783.1655100469891 31.108848507495573
29 41 33 37 18.4312262 779.574825399471 42.29641679507308
29 44 34 39 14.5640975 757.064739287601 51.981575877777594
29 47 35 41 11.3621899 654.0561514495544 57.564268614235566
29 50 36 43 8.18722958 534.8161422639917 65.32321306470456
29 53 37 45 7.14833149 549.8463342234749 76.91953499815588
