x_m,y_m,gravity_disturbance_mGal
377724.989,63937.083,15.152
377724.989,108600.749,72.988
377893.340,28169.011,51.687
378060.683,75056.575,28.684
378228.026,52631.895,15.981
378228.026,100818.216,57.707
379068.772,85620.094,23.437
379572.817,26501.087,51.031
379740.160,72648.093,26.521
380077.870,68013.489,20.373
380414.571,90809.561,32.978
380414.571,69312.246,21.508
380580.906,25574.833,53.942
380749.257,102855.307,66.158
381084.951,71720.728,24.969
381421.653,108043.662,85.062
381421.653,50963.971,32.104
381588.995,96553.891,45.223
381757.346,109527.003,87.235
382933.787,104708.927,75.534
383438.839,85805.789,26.279
383604.166,69496.829,27.520
383941.876,74314.905,19.692
384278.578,24647.467,53.422
384613.263,23906.909,53.845
386462.099,92104.982,39.958
386462.099,78762.702,32.473
386462.099,51519.945,47.043
386797.793,21127.036,49.344
387470.188,82285.358,27.569
387637.531,68570.575,48.867
387974.233,86174.956,33.605
388309.926,19272.305,50.691
391501.537,16678.127,49.778
392006.590,19829.391,45.390
392006.590,69126.550,64.887
393015.687,84879.535,51.829
394022.768,77281.586,64.454
395534.902,70607.666,72.129
395702.245,15937.569,53.724
395870.596,23165.239,37.001
396205.281,53559.260,50.909
397552.089,15567.290,51.090
397886.774,52818.702,52.854
398559.170,56339.133,53.156
398559.170,63382.220,66.265
398726.513,27057.062,20.423
399063.214,15382.706,47.529
399398.908,71164.753,83.236
400071.304,30208.326,19.800
400238.646,34470.427,21.786
400911.042,81728.271,87.184
401583.437,14455.340,48.716
402927.220,13529.087,46.642
403430.257,69126.550,84.832
405280.101,11861.163,41.791
405447.443,40771.844,23.635
407463.622,3151.264,58.202
407463.622,67644.322,91.935
407966.658,105449.485,72.715
408806.397,100261.130,75.190
408806.397,47443.539,43.106
408975.756,109897.282,72.527
409144.107,10376.711,38.712
410487.890,79873.540,112.587
410487.890,64863.337,89.769
411327.628,97110.977,77.783
412505.076,9452.681,39.097
413008.113,90994.144,91.148
414017.210,63751.387,92.683
414856.948,49667.438,52.000
415024.291,4077.518,37.182
415191.634,8708.787,40.393
415696.687,63010.829,94.080
416536.425,88214.271,96.343
417881.216,60970.402,90.142
419560.693,7413.366,38.904
419560.693,78578.119,113.030
420064.737,109342.419,87.633
421072.827,53187.869,62.741
421576.871,83396.195,98.612
422249.267,6671.696,44.620
422249.267,59674.981,85.815
422584.961,74869.768,123.039
423089.005,68940.855,124.097
423424.699,63195.413,97.339
424265.445,78023.256,112.075
424265.445,101001.688,91.764
425106.192,55967.742,74.697
425273.535,5745.442,43.223
425273.535,80986.601,107.498
425777.579,55782.047,75.597
427625.407,16308.960,57.083
428297.802,3522.655,49.865
429304.883,23721.214,52.068
429473.234,79504.373,110.928
429641.585,55967.742,83.600
430144.622,95997.916,112.761
431656.756,2038.203,55.062
432161.808,32802.503,49.070
432665.853,76910.195,114.897
433001.547,55597.463,82.897
433168.889,14825.620,64.700
435355.435,56895.108,89.403
435520.762,91180.952,102.681
435690.121,85064.119,105.250
436025.814,68570.575,131.645
437369.597,38919.336,51.297
438041.993,59489.286,89.123
438547.046,72832.677,117.929
438547.046,18903.138,75.410
440226.522,64123.890,110.187
440730.567,78392.423,119.474
441905.999,48369.793,70.651
442242.701,60415.539,98.406
446947.453,60788.042,97.355
448291.236,21868.706,76.550
448626.930,71720.728,133.179
449299.325,87102.322,108.833
449467.676,80060.347,117.023
449634.011,93218.043,107.627
450643.108,98963.485,111.353
451148.161,107303.104,105.379
451315.504,62825.134,114.463
452827.638,21868.706,86.540
453331.682,51335.362,75.471
453834.719,59120.119,99.354
455179.510,69867.108,135.984
456187.599,46516.174,67.990
457028.346,58376.225,101.070
458707.822,75426.855,137.736
459210.859,40587.260,65.981
460052.613,27242.757,70.085
461900.441,58191.641,91.416
462740.179,35952.656,60.605
463580.926,81912.855,130.493
464252.313,31876.250,67.924
465261.410,25574.833,74.987
465596.096,58376.225,93.731
465764.447,45775.615,80.708
465764.447,87102.322,120.130
466940.887,37620.580,69.840
467613.283,110824.648,117.480
469125.416,59674.981,97.795
470469.199,44476.859,82.110
471646.648,91735.814,121.227
471981.333,102486.140,123.634
472821.072,58376.225,92.909
473324.108,17605.493,76.539
473493.467,12416.026,75.323
476350.392,94329.992,116.996
476517.735,7597.949,85.380
476853.429,56708.301,80.221
479036.950,37620.580,70.067
480549.084,94516.800,112.032
480718.443,54855.793,68.269
481054.136,5003.772,63.228
481558.181,84879.535,74.098
482735.629,2965.569,61.410
482900.956,53744.956,65.303
484750.800,95997.916,107.749
485254.844,53744.956,68.300
487774.059,81912.855,58.475
489454.544,54486.626,60.387
490126.940,10193.239,66.167
491807.424,45589.920,66.393
492982.856,73574.347,62.903
493655.252,53929.539,50.572
493655.252,96739.586,71.000
494831.692,17050.630,83.890
495671.430,25574.833,68.359
496848.879,65234.728,61.668
497183.564,54299.819,55.662
498361.012,33171.671,63.084
498526.339,99148.068,64.118
500207.832,44849.362,82.675
501047.570,40587.260,85.184
501047.570,76910.195,62.461
502559.704,86918.850,52.086
503399.443,82098.550,54.245
504239.181,54114.123,66.482
504576.891,51705.641,69.511
505079.927,63937.083,70.024
506089.025,57449.971,71.906
506425.726,109897.282,54.880
506928.763,94144.297,46.325
507768.501,80060.347,51.409
508272.546,49111.463,81.906
508608.240,101187.383,47.869
509449.994,108416.165,47.669
510289.732,98221.815,45.381
510457.075,53003.286,69.037
510792.769,67087.235,62.145
510962.128,46888.677,79.604
513481.343,104523.231,55.171
513817.037,71535.032,46.050
514153.739,81543.688,53.645
514993.477,44107.692,83.267
515833.215,103225.586,54.508
519529.878,38919.336,73.974
519864.564,77094.778,50.778
520033.923,49482.854,74.945
520369.617,35026.402,83.338
522216.436,104154.064,46.413
522216.436,31134.579,84.044
522385.795,9452.681,74.770
522385.795,87288.017,54.389
522721.489,96739.586,87.626
522890.848,79318.677,44.874
524402.982,90994.144,54.405
524570.325,48556.601,69.399
525074.369,30208.326,96.655
527761.935,80430.626,51.221
528098.637,13529.087,71.357
529274.069,49296.047,81.682
529610.771,30577.493,65.303
530618.860,103596.977,55.494
533140.091,31690.554,62.586
533810.471,77281.586,48.910
534264.111,34339.217,57.934
535155.262,93959.713,36.571
535826.649,19644.808,46.948
536164.359,28909.569,47.037
536834.738,48369.793,74.600
537171.440,105080.318,30.804
541035.446,26872.478,38.385
541539.491,91735.814,36.811
542380.237,75798.246,50.441
543219.976,21868.706,40.283
543219.976,35100.902,44.382
543892.371,51150.778,84.058
544395.408,23906.909,38.816
545066.795,107303.104,-13.100
545741.207,45589.920,59.259
546578.929,35212.097,39.028
546915.631,68385.992,74.087
547253.341,85990.373,41.772
547253.341,59303.590,84.805
547418.667,21684.123,39.270
548848.138,23017.350,36.570
548930.801,23165.239,38.781
549134.435,29596.754,31.583
549268.511,109342.419,-24.536
549605.213,29651.239,35.890
549687.876,36175.045,38.184
550612.294,49296.047,71.774
551620.383,19272.305,36.254
551788.734,38175.442,38.759
551788.734,42439.768,54.632
552796.823,85620.094,54.179
553787.775,33024.893,36.508
554476.300,40214.757,65.887
554576.101,25204.554,34.100
556493.487,17235.214,36.479
557667.911,39474.199,59.620
559046.977,27317.258,43.857
560104.462,40121.353,54.216
561366.590,87473.713,37.400
561366.590,15751.873,38.084
562877.716,88029.688,42.375
563213.409,80060.347,23.805
563968.468,29689.045,52.489
564892.886,14083.949,36.445
564892.886,54486.626,77.858
565733.633,40956.427,63.337
566910.073,91365.535,44.721
567244.758,46331.590,53.492
567414.117,63566.804,49.543
567414.117,71535.032,41.480
567582.468,12788.529,42.713
567749.811,36694.326,58.559
568253.856,35859.252,53.068
568892.984,41030.928,49.953
569162.144,30170.519,53.647
570943.438,27983.315,46.889
572286.213,12046.858,44.508
573967.705,91365.535,42.789
574521.146,32192.043,64.920
574807.444,20571.061,43.032
575142.129,107859.079,-40.713
575981.868,43440.522,36.487
577494.002,10193.239,47.046
577831.711,99148.068,6.495
578166.397,14455.340,34.353
578285.352,36285.128,66.261
579174.486,47647.026,51.826
580183.584,8153.924,51.034
581678.580,52261.616,27.183
582367.105,95257.358,32.288
583039.500,3706.127,46.954
588079.947,48245.255,40.293
588582.983,7413.366,62.614
589592.081,0.000,49.147
590179.797,24092.605,53.553
590852.192,36325.159,9.598
592279.646,14269.645,46.126
593119.385,93403.738,48.980
593876.460,42778.912,37.113
595892.638,29312.095,16.392
596060.989,50377.973,2.114
596060.989,18038.041,55.297
596816.048,73943.514,31.656
597320.093,57943.676,35.501
597992.488,90994.144,38.502
598552.986,66285.520,50.829
599224.373,15999.838,57.271
599672.973,15751.873,42.532
600989.537,18316.028,60.819
601016.756,17605.493,45.359
601381.684,79504.373,50.258
602446.226,11828.916,45.046
602472.437,3427.028,66.945
602864.583,26130.808,8.985
602864.583,87473.713,31.805
603116.606,46083.625,45.727
603173.059,26779.074,25.551
604740.638,87194.614,47.022
605385.815,57419.948,37.338
605441.260,36910.044,31.888
607822.366,26315.391,23.852
608354.637,74933.149,24.022
609949.435,68231.431,25.697
610985.750,19829.391,50.917
611181.320,81637.091,54.681
612133.964,90036.756,53.602
612441.431,44262.253,7.035
612693.454,97819.289,45.928
613477.747,54855.793,58.307
616754.037,74655.162,37.902
616782.264,84292.426,48.938
617116.949,33358.478,21.307
617931.485,94855.944,58.038
618938.566,19490.247,58.255
619693.625,39688.805,51.295
620198.678,49358.316,1.695
620394.247,107117.409,-38.935
620758.167,99735.178,-1.405
622354.981,50963.971,2.389
623642.311,71875.289,36.292
624875.204,86762.065,10.859
627703.902,31225.759,19.370
628096.049,15751.873,34.581
629243.255,44201.095,7.455
630811.841,71380.471,25.690
630895.513,3859.576,33.248
631120.317,54299.819,-1.184
631595.127,80030.325,11.936
633134.479,10902.663,-6.419
634199.021,60137.552,-5.662
635431.914,90315.855,-8.352
636216.208,31969.653,-28.457
637700.115,67798.883,31.619
637783.787,48493.219,-18.574
638260.613,40493.856,-20.987
638624.533,100415.690,-47.254
638960.227,90437.058,14.653
640249.573,33822.161,-33.031
640499.579,6177.990,52.465
641984.494,54332.065,-1.969
642264.743,26376.549,-23.736
642684.108,109217.881,4.410
642908.912,84106.731,-0.254
643216.380,14393.071,23.045
643523.847,88955.941,4.466
644784.966,62023.418,18.713
644925.091,72740.385,8.505
645233.566,78144.459,-8.786
647053.167,97480.144,-44.353
647137.847,43366.021,-30.062
647557.212,20170.760,1.939
649824.405,103781.561,-36.395
650581.480,79412.081,-7.595
651868.809,59674.981,-1.587
652345.636,51087.397,-7.945
652485.760,25789.439,31.729
652850.688,13188.830,-7.337
652933.352,36694.326,-32.539
653156.139,92322.924,-20.704
656685.460,66654.687,-15.778
658142.149,74809.723,-10.394
658169.367,100167.726,-38.654
659009.106,54607.828,-4.253
660634.145,36046.059,-38.579
663042.471,82253.111,-16.737
663097.916,92416.327,-38.559
663378.164,64863.337,-7.145
664302.582,29836.935,-33.203
664358.027,20819.026,-25.192
666206.863,108104.820,-31.102
666234.081,12818.551,-17.017
666262.308,49637.415,-14.990
667550.646,73419.786,-7.155
668754.304,34994.155,-35.221
669735.175,42533.171,-12.679
669903.526,0.000,-18.476
670098.087,87380.309,-17.734
670240.228,60137.552,-69.959
672255.398,5466.343,-12.129
672422.741,66037.555,-0.031
674354.240,105480.619,-16.825
674523.599,51150.778,-3.257
674776.629,97079.843,-22.573
675418.782,14547.632,-24.382
675643.586,80708.614,-2.275
676930.916,32710.212,-17.369
681131.624,61002.649,-0.625
681524.779,7907.071,-5.931
682139.713,48493.219,8.518
682224.393,74437.220,1.521
682783.882,86700.908,1.932
683288.935,94052.005,2.501
684379.687,40308.161,9.598
684631.710,31321.387,11.553
684883.732,104955.779,4.035
686760.794,79412.081,15.619
687852.555,51767.910,27.725
687992.679,63225.435,25.044
688496.724,6795.122,55.135
688888.871,52879.859,35.451
689812.280,27614.148,29.002
691157.071,69838.198,36.797
692640.979,35026.402,47.106
692696.424,42995.742,54.748
693565.397,104986.914,57.118
694992.851,13653.625,72.966
696337.642,87658.297,69.067
697149.154,48060.671,89.474
697709.651,20446.523,78.624
698466.726,96986.439,76.341
698885.084,32154.237,74.156
699361.910,64647.618,106.381
700088.742,7352.209,93.371
700341.772,40093.555,80.579
701600.876,56245.730,126.390
701743.016,16370.117,85.580
701909.351,73388.652,110.785
702525.294,105419.462,96.592
703255.150,23752.348,85.477
703281.361,84786.132,90.703
0.000,155271.484,33.580
699.614,142484.067,31.356
1372.009,137510.318,31.536
6971.945,158978.722,48.621
10109.119,140044.450,39.875
10948.857,136769.760,48.299
13665.658,149650.580,47.137
16715.128,175812.522,36.319
16799.807,158824.162,39.448
20693.048,134731.557,32.240
22008.604,159257.822,41.689
26069.188,169757.959,31.981
27133.730,159103.261,23.336
27581.322,179271.797,43.653
34638.954,134360.166,12.692
38558.405,165989.563,32.008
39790.290,160059.537,33.413
41358.877,114530.774,11.293
43627.078,189432.789,39.049
48162.471,154437.522,34.964
49619.160,206731.384,34.880
50431.680,169356.545,36.618
51104.076,121571.637,30.378
51271.419,132507.658,20.384
51916.596,187425.721,40.438
56480.216,148259.532,37.082
56535.661,159257.822,36.928
56955.026,199101.188,36.430
57152.611,151348.527,34.928
57452.014,150298.846,33.495
58329.051,173833.253,42.190
60176.879,172878.088,37.334
60792.822,192244.909,38.041
62584.196,183596.167,40.039
62752.547,153098.735,35.092
64209.236,126577.633,31.591
64544.930,126577.633,30.814
65621.569,158255.955,31.875
66973.417,169188.641,42.897
67346.410,199194.592,28.570
68576.279,213494.259,43.880
69058.145,163271.959,35.835
69064.194,153070.936,29.689
70292.046,180010.131,42.585
70565.239,210220.681,22.858
71181.181,191935.787,30.396
71662.040,191962.474,31.785
72085.437,185767.804,38.036
72991.709,167895.444,43.009
73617.733,122684.698,31.304
73796.165,174825.111,45.980
74344.565,219825.698,17.907
74683.283,153381.170,34.987
75207.490,159362.345,34.894
77023.058,182079.468,36.257
78335.591,170253.888,43.460
78591.645,191923.555,30.981
80002.970,120460.800,28.727
80469.715,177152.421,38.509
80769.118,197930.305,29.066
81114.893,158456.106,35.022
82276.211,183613.958,30.247
82849.814,164537.357,39.552
83806.491,170061.521,44.634
85210.759,134360.166,41.252
85391.207,202730.590,22.216
85678.513,190419.088,26.948
86891.244,111379.510,31.428
87193.671,159529.137,38.215
87273.310,174061.202,24.477
88156.396,184814.864,24.341
88740.080,126020.546,34.259
88740.080,137141.151,42.452
89680.627,179105.004,22.741
89975.997,194846.870,24.696
90556.656,211982.008,20.678
90653.433,205095.706,26.546
92382.306,219718.951,13.804
93166.599,161559.557,38.618
93174.664,167552.963,22.059
93411.565,183674.004,22.778
94283.562,140291.303,40.160
94775.510,199136.770,29.769
97139.479,139178.242,41.637
97279.603,211701.797,26.325
98822.988,206887.057,29.056
99258.483,217907.586,19.550
99590.144,161033.605,20.254
99666.759,181813.713,16.355
99767.568,171929.596,17.965
99826.037,190796.039,17.447
100332.098,136028.090,42.149
101172.844,125278.876,38.606
101844.232,155302.618,24.369
102515.619,163086.263,19.306
102515.619,141959.227,39.720
102684.978,133803.079,39.499
103177.934,157775.593,14.987
103693.067,153819.278,19.892
103868.475,114059.308,33.554
104169.893,151732.149,19.196
104532.806,147520.085,22.518
104702.165,131765.988,41.308
104867.491,128616.948,42.306
104867.491,126577.633,41.790
105419.924,216565.463,21.620
105539.887,158823.050,12.593
105709.246,121388.166,36.537
105709.246,133248.216,42.561
106012.681,180168.028,16.091
106024.778,211816.328,22.574
106138.692,162423.541,7.097
106464.305,206244.350,24.433
106490.515,199988.523,16.873
106548.984,134916.140,42.207
106621.566,193218.976,14.561
106717.335,130467.231,37.831
106812.095,186382.712,16.283
107557.073,136955.455,45.339
107557.073,118608.292,34.249
107923.010,169230.895,14.262
108543.993,174370.324,18.092
109069.207,115086.749,32.214
