x_m,y_m,total_field_anomaly_nT
20936.23,49525.11,-16.00
20884.67,53320.19,-12.00
20542.09,59515.97,6.00
20394.46,64515.30,43.00
20256.02,68449.37,32.00
20220.70,70093.95,92.00
20131.70,72057.65,91.00
20008.80,74049.15,81.00
20007.38,74611.80,68.00
20003.85,74906.46,68.00
19988.31,75648.13,66.00
20407.88,64314.03,23.00
21766.20,39255.14,-29.00
21704.74,40359.31,-31.00
21629.16,42508.71,-31.00
21564.89,43617.32,-29.00
21427.85,47465.78,-21.00
21268.93,51447.67,-12.00
20901.62,60641.27,13.00
20796.38,64688.76,44.00
20710.91,68324.83,47.00
20591.53,70060.59,72.00
20398.70,71611.76,83.00
20433.31,73229.64,84.00
20465.10,74105.86,139.00
20474.99,74466.13,139.00
20477.81,75380.15,47.00
21511.91,45760.05,-27.00
22168.11,38600.21,-39.00
22005.65,41853.77,-24.00
21897.58,47495.80,-24.00
21553.58,53464.74,-11.00
21309.19,61185.01,14.00
21247.03,65259.19,43.00
21100.11,68131.36,42.00
21047.13,70145.10,42.00
20969.43,71299.30,102.00
20857.12,73251.88,87.00
20814.74,74108.08,140.00
20806.97,74579.55,80.00
20811.92,75468.00,32.00
20817.57,76227.46,-294.00
21215.95,64620.93,34.00
22411.80,42194.03,-29.00
22231.68,47133.31,-21.00
22034.61,52717.51,-14.00
21733.70,58624.19,5.00
21563.47,66461.21,43.00
21385.47,70003.88,35.00
21307.07,72225.55,92.00
21238.55,74203.71,170.00
21234.31,75211.14,29.00
21193.35,75983.94,-193.00
21104.35,76591.07,-394.00
22986.77,37374.84,-37.00
22866.69,43168.09,-30.00
22668.21,47197.80,-27.00
22435.82,52579.63,-15.00
21928.66,58049.31,7.00
22073.46,60571.21,7.00
21915.94,66545.72,46.00
21836.12,70242.95,53.00
21780.32,71397.15,62.00
21706.16,73456.48,84.00
21696.97,74342.70,100.00
21634.11,75609.21,-12.00
21613.62,76363.12,-493.00
21607.27,76728.95,-94.00
22803.83,45598.82,-31.00
23056.70,45351.96,-43.00
22957.10,48910.20,-32.00
22831.37,52744.20,-23.00
22715.53,57259.83,-4.00
22454.89,62971.91,15.00
22230.97,69847.09,52.00
22142.68,71526.14,52.00
22079.11,72609.18,81.00
22203.43,74162.57,241.00
22286.78,74602.90,60.00
22206.25,75710.40,-42.00
22098.18,76192.99,-203.00
22010.59,76597.74,-314.00
21924.42,76988.03,126.00
22216.14,75613.66,-12.00
23508.06,46423.88,-33.00
23236.82,52649.69,-24.00
23151.35,56523.72,-3.00
22924.61,61464.11,6.00
22666.09,68404.89,49.00
22565.79,70409.74,45.00
22526.94,71885.30,82.00
22488.09,73655.52,80.00
22477.49,74109.19,191.00
22466.90,74467.24,90.00
22408.27,75437.97,-11.00
22387.08,75900.54,-172.00
22358.12,76637.77,-173.00
23553.26,44542.46,-31.00
22425.22,75364.59,-1.00
24055.48,41202.17,-27.00
23776.47,49764.18,-25.00
23555.38,54224.21,-13.00
23250.24,62870.72,19.00
23149.94,67267.37,47.00
22974.06,71358.23,62.00
22916.84,72489.08,102.00
22911.90,74122.54,121.00
22879.40,74641.82,90.00
22847.62,75491.35,-11.00
22858.21,75888.31,-132.00
22867.40,76213.00,-244.00
22875.87,76667.79,-185.00
22882.23,76942.44,7.00
22882.23,77282.70,67.00
22880.11,77669.66,106.00
22901.30,77989.90,256.00
22923.20,74090.29,111.00
22880.82,74628.48,90.00
24268.09,45591.03,-36.00
24126.82,50899.48,-20.00
23859.11,57091.92,-3.00
23577.28,65461.57,34.00
23373.85,71320.43,33.00
23296.15,73765.60,72.00
23282.02,74310.46,143.00
23262.95,75152.20,50.00
23252.36,75673.71,-51.00
23233.29,75982.83,-212.00
23220.57,76370.90,-242.00
23196.56,76607.74,-72.00
23176.07,76937.99,87.00
23161.24,77284.92,117.00
23157.71,77675.22,77.00
23145.70,77949.87,226.00
24275.86,45055.07,-31.00
23255.89,75257.84,39.00
23231.87,75731.53,-61.00
24497.65,49857.58,-25.00
24338.02,54819.10,-16.00
24011.68,63454.50,25.00
23806.14,69633.60,66.00
23771.53,71540.59,42.00
23694.53,73268.56,82.00
23674.76,74219.28,61.00
23678.29,74400.53,164.00
23672.64,74957.61,70.00
23639.44,75866.07,-32.00
23609.07,76416.49,-102.00
23593.53,76743.40,58.00
23585.05,77178.17,97.00
23567.39,77693.01,57.00
23563.86,78016.58,207.00
24347.20,55686.42,-17.00
23632.37,75721.52,-1.00
25066.27,45891.26,-31.00
24944.77,49587.38,-22.00
